transaction_id,store,customer_id,customer_city,customer_gender,product_id,product_price,quantity,total,created_at
576074,Ofline store,296834,Tangerang,Female,34,1088,68,73984,23/11/2018
418777,Ofline store,382980,Depok,Female,34,1088,68,73984,24/10/2018
584103,Ofline store,228263,Jakarta,Female,34,1088,68,73984,25/11/2018
389420,Ofline store,337338,Depok,Female,34,1088,68,73984,17/10/2018
352845,Ofline store,284925,Tangerang,Female,34,1088,68,73984,03/10/2018
726478,Ofline store,400668,Depok,Female,34,1088,68,73984,13/12/2018
220117,Ofline store,194063,Depok,Male,34,1088,68,73984,02/08/2018
242202,Ofline store,300726,Jakarta,Male,34,1088,8,8704,13/08/2018
459512,Ofline store,339704,Depok,Male,34,1088,8,8704,01/11/2018
488013,Ofline store,272726,Jakarta,Female,39,1888,40,75520,06/11/2018
285169,Ofline store,333203,Depok,Female,39,1888,40,75520,05/09/2018
194789,Ofline store,264083,Depok,Male,39,1888,40,75520,22/07/2018
346800,Ofline store,290081,Bogor,Female,39,1888,40,75520,01/10/2018
601900,Ofline store,417439,Depok,Female,39,1888,40,75520,27/11/2018
488856,Ofline store,180106,Depok,Female,39,1888,40,75520,06/11/2018
432618,Ofline store,333358,Depok,Male,39,1888,40,75520,26/10/2018
296649,Ofline store,339016,Tangerang,Male,39,1888,40,75520,11/09/2018
182760,Ofline store,291739,Tangerang,Male,39,1888,40,75520,15/07/2018
734642,Ofline store,433710,Jakarta,Male,39,1888,40,75520,14/12/2018
277779,Ofline store,149621,Jakarta,Female,39,1888,40,75520,03/09/2018
775753,Ofline store,87867,Bogor,Male,39,1888,40,75520,28/12/2018
597501,Ofline store,336734,Depok,Male,39,1888,40,75520,27/11/2018
444298,Ofline store,201127,Bogor,Female,39,1888,40,75520,29/10/2018
460870,Ofline store,192743,Jakarta,Male,39,1888,40,75520,01/11/2018
219350,Ofline store,272238,Depok,Male,39,1888,40,75520,02/08/2018
513608,Ofline store,366561,Jakarta,Male,39,1888,40,75520,12/11/2018
308161,Ofline store,208623,Tangerang,Male,39,1888,40,75520,16/09/2018
319211,Ofline store,214176,Bogor,Male,39,1888,40,75520,20/09/2018
728615,Ofline store,181303,Tangerang,Female,39,1888,40,75520,13/12/2018
279289,Ofline store,333280,Depok,Female,39,1888,40,75520,03/09/2018
182008,Ofline store,235402,Tangerang,Female,39,1888,40,75520,14/07/2018
750108,Ofline store,434146,Depok,Male,39,1888,40,75520,18/12/2018
341611,Ofline store,181469,Depok,Female,39,1888,40,75520,29/09/2018
330324,Ofline store,333233,Bogor,Female,39,1888,40,75520,25/09/2018
262006,Ofline store,218541,Depok,Female,39,1888,40,75520,27/08/2018
543431,Ofline store,310725,Bogor,Male,39,1888,40,75520,18/11/2018
781498,Ofline store,441183,Depok,Female,39,1888,40,75520,30/12/2018
585222,Ofline store,101116,Jakarta,Male,39,1888,40,75520,25/11/2018
499313,Ofline store,390507,Bogor,Female,39,1888,40,75520,08/11/2018
248286,Ofline store,333283,Depok,Female,39,1888,40,75520,17/08/2018
362990,Ofline store,334556,Depok,Male,39,1888,40,75520,08/10/2018
647261,Ofline store,155973,Depok,Male,39,1888,40,75520,03/12/2018
633741,Ofline store,414403,Bogor,Male,39,1888,40,75520,01/12/2018
237197,Ofline store,227813,Bogor,Female,39,1888,40,75520,10/08/2018
292093,Ofline store,193973,Depok,Male,39,1888,40,75520,08/09/2018
279627,Ofline store,333408,Bogor,Male,39,1888,40,75520,03/09/2018
187067,Ofline store,320242,Jakarta,Male,39,1888,40,75520,18/07/2018
141561,Ofline store,214176,Bogor,Male,39,1888,40,75520,17/06/2018
134453,Ofline store,321148,Depok,Female,39,1888,40,75520,07/06/2018
288345,Ofline store,178355,Depok,Female,39,1888,40,75520,06/09/2018
554540,Ofline store,405151,Tangerang,Female,39,1888,40,75520,20/11/2018
257890,Ofline store,294189,Depok,Male,39,1888,40,75520,24/08/2018
255348,Ofline store,331589,Jakarta,Female,39,1888,40,75520,23/08/2018
685062,Ofline store,326681,Jakarta,Female,34,1088,72,78336,07/12/2018
236774,Ofline store,286022,Depok,Male,34,1088,72,78336,10/08/2018
278950,Ofline store,293673,Depok,Male,34,1088,72,78336,03/09/2018
369005,Ofline store,295743,Bogor,Male,34,1088,12,13056,10/10/2018
270850,Ofline store,305927,Jakarta,Female,34,1088,12,13056,31/08/2018
681934,Ofline store,426555,Tangerang,Male,34,1088,12,13056,07/12/2018
354259,Ofline store,255072,Depok,Female,34,1088,12,13056,04/10/2018
106547,Ofline store,306146,Depok,Male,34,1088,12,13056,21/05/2018
314644,Ofline store,271786,Bogor,Female,34,1088,12,13056,18/09/2018
144215,Ofline store,298971,Tangerang,Male,34,1088,12,13056,24/06/2018
298608,Ofline store,332804,Depok,Female,36,1240,64,79360,12/09/2018
467655,Ofline store,333188,Bogor,Male,43,1252,64,80128,02/11/2018
481974,Ofline store,135225,Bogor,Female,39,1888,8,15104,05/11/2018
604008,Ofline store,416471,Tangerang,Male,39,1888,8,15104,28/11/2018
527279,Ofline store,389500,Depok,Female,39,1888,8,15104,15/11/2018
204588,Ofline store,331854,Depok,Female,39,1888,8,15104,27/07/2018
379759,Ofline store,332609,Depok,Female,53,472,32,15104,15/10/2018
230911,Ofline store,296931,Bogor,Female,39,1888,8,15104,07/08/2018
287256,Ofline store,290208,Depok,Male,39,1888,8,15104,06/09/2018
267840,Ofline store,289113,Jakarta,Female,39,1888,8,15104,30/08/2018
187193,Ofline store,306855,Bogor,Female,39,1888,8,15104,18/07/2018
169341,Ofline store,150242,Depok,Male,39,1888,8,15104,06/07/2018
459276,Ofline store,309227,Depok,Female,39,1888,8,15104,01/11/2018
663498,Ofline store,191677,Depok,Female,39,1888,8,15104,05/12/2018
681811,Ofline store,134973,Bogor,Male,39,1888,8,15104,07/12/2018
774452,Ofline store,440596,Jakarta,Male,39,1888,8,15104,28/12/2018
141279,Ofline store,192592,Tangerang,Male,39,1888,8,15104,16/06/2018
487842,Ofline store,319979,Tangerang,Male,39,1888,8,15104,06/11/2018
515458,Ofline store,390832,Depok,Female,39,1888,8,15104,12/11/2018
589769,Ofline store,415485,Tangerang,Male,39,1888,8,15104,26/11/2018
278819,Ofline store,155095,Bogor,Male,39,1888,8,15104,03/09/2018
300934,Ofline store,354293,Tangerang,Female,39,1888,8,15104,13/09/2018
306811,Ofline store,275243,Jakarta,Male,39,1888,8,15104,15/09/2018
592229,Ofline store,347930,Jakarta,Male,39,1888,8,15104,26/11/2018
273057,Ofline store,157292,Depok,Female,39,1888,8,15104,01/09/2018
341616,Ofline store,296753,Tangerang,Male,53,472,32,15104,29/09/2018
527294,Ofline store,389500,Depok,Female,39,1888,8,15104,15/11/2018
659552,Ofline store,417359,Jakarta,Male,39,1888,8,15104,04/12/2018
751862,Ofline store,434362,Jakarta,Female,39,1888,8,15104,18/12/2018
685101,Ofline store,416087,Depok,Male,39,1888,8,15104,07/12/2018
726988,Ofline store,138668,Bogor,Female,53,472,32,15104,13/12/2018
249245,Ofline store,132282,Jakarta,Female,39,1888,8,15104,18/08/2018
598757,Ofline store,415851,Jakarta,Female,39,1888,8,15104,27/11/2018
143817,Ofline store,266498,Depok,Male,39,1888,8,15104,23/06/2018
614993,Ofline store,130957,Bogor,Female,39,1888,8,15104,29/11/2018
338253,Ofline store,302031,Depok,Male,39,1888,8,15104,28/09/2018
544758,Ofline store,271809,Depok,Female,39,1888,8,15104,18/11/2018
367882,Ofline store,370392,Depok,Female,39,1888,8,15104,09/10/2018
279747,Ofline store,176921,Tangerang,Female,39,1888,8,15104,03/09/2018
289769,Ofline store,288887,Depok,Female,39,1888,8,15104,07/09/2018
293249,Ofline store,182640,Jakarta,Female,39,1888,8,15104,09/09/2018
255369,Ofline store,174841,Tangerang,Male,39,1888,8,15104,23/08/2018
392714,Ofline store,300826,Depok,Female,39,1888,8,15104,18/10/2018
144311,Ofline store,207356,Tangerang,Male,39,1888,8,15104,25/06/2018
279404,Ofline store,290081,Bogor,Female,39,1888,8,15104,03/09/2018
589689,Ofline store,414280,Tangerang,Female,39,1888,8,15104,26/11/2018
223177,Ofline store,119372,Tangerang,Female,34,1088,76,82688,03/08/2018
726460,Ofline store,400668,Depok,Female,34,1088,76,82688,13/12/2018
376787,Ofline store,305927,Jakarta,Female,34,1088,76,82688,13/10/2018
588652,Ofline store,415303,Depok,Male,34,1088,76,82688,25/11/2018
143917,Ofline store,292542,Jakarta,Male,34,1088,76,82688,23/06/2018
198009,Ofline store,186250,Jakarta,Male,34,1088,76,82688,24/07/2018
300939,Ofline store,286022,Depok,Male,34,1088,16,17408,13/09/2018
317688,Ofline store,292991,Tangerang,Female,34,1088,16,17408,19/09/2018
285756,Ofline store,347265,Depok,Male,34,1088,16,17408,05/09/2018
726477,Ofline store,400668,Depok,Female,34,1088,16,17408,13/12/2018
293726,Ofline store,132856,Tangerang,Female,39,1888,80,151040,09/09/2018
232903,Ofline store,289113,Jakarta,Female,39,1888,80,151040,08/08/2018
267756,Ofline store,119372,Tangerang,Female,39,1888,80,151040,30/08/2018
517692,Ofline store,370924,Depok,Female,39,1888,80,151040,13/11/2018
278365,Ofline store,333280,Depok,Female,39,1888,80,151040,03/09/2018
243406,Ofline store,261926,Jakarta,Male,39,1888,80,151040,14/08/2018
726648,Ofline store,366561,Jakarta,Male,39,1888,80,151040,13/12/2018
256248,Ofline store,296750,Depok,Male,39,1888,80,151040,23/08/2018
661737,Ofline store,426220,Bogor,Female,39,1888,80,151040,05/12/2018
230409,Ofline store,306673,Bogor,Female,39,1888,80,151040,07/08/2018
369025,Ofline store,370924,Depok,Female,39,1888,80,151040,10/10/2018
724720,Ofline store,433205,Jakarta,Female,39,1888,80,151040,13/12/2018
287583,Ofline store,176871,Bogor,Male,39,1888,80,151040,06/09/2018
234711,Ofline store,333234,Depok,Female,39,1888,80,151040,09/08/2018
351813,Ofline store,178473,Depok,Male,39,1888,80,151040,03/10/2018
699645,Ofline store,431100,Bogor,Male,39,1888,80,151040,09/12/2018
142006,Ofline store,129835,Depok,Male,39,1888,80,151040,19/06/2018
330614,Ofline store,184279,Bogor,Female,39,1888,80,151040,25/09/2018
247472,Ofline store,145917,Jakarta,Female,39,1888,80,151040,17/08/2018
587395,Ofline store,414326,Tangerang,Female,39,1888,80,151040,25/11/2018
169005,Ofline store,275243,Jakarta,Male,39,1888,80,151040,06/07/2018
231402,Ofline store,257255,Tangerang,Male,39,1888,80,151040,07/08/2018
411214,Ofline store,250446,Depok,Male,39,1888,80,151040,22/10/2018
348456,Ofline store,331901,Depok,Female,39,1888,80,151040,02/10/2018
279750,Ofline store,296797,Tangerang,Male,39,1888,80,151040,03/09/2018
519450,Ofline store,189561,Tangerang,Male,39,1888,80,151040,13/11/2018
481955,Ofline store,195693,Bogor,Female,39,1888,80,151040,05/11/2018
181247,Ofline store,293312,Depok,Male,39,1888,80,151040,14/07/2018
378787,Ofline store,190587,Depok,Male,39,1888,80,151040,14/10/2018
698415,Ofline store,430070,Jakarta,Male,39,1888,80,151040,09/12/2018
617953,Ofline store,381322,Depok,Female,39,1888,80,151040,29/11/2018
640132,Ofline store,154941,Bogor,Male,39,1888,80,151040,02/12/2018
303594,Ofline store,249862,Depok,Female,39,1888,80,151040,14/09/2018
330437,Ofline store,331901,Depok,Female,39,1888,80,151040,25/09/2018
617788,Ofline store,416870,Depok,Male,39,1888,80,151040,29/11/2018
182025,Ofline store,167514,Tangerang,Male,39,1888,80,151040,14/07/2018
608735,Ofline store,414408,Depok,Male,39,1888,80,151040,28/11/2018
374595,Ofline store,101116,Jakarta,Male,39,1888,80,151040,12/10/2018
632906,Ofline store,108628,Bogor,Male,39,1888,80,151040,01/12/2018
481957,Ofline store,195693,Bogor,Female,39,1888,80,151040,05/11/2018
338981,Ofline store,191468,Bogor,Male,39,1888,80,151040,28/09/2018
377180,Ofline store,358090,Bogor,Male,39,1888,80,151040,13/10/2018
486278,Ofline store,395520,Depok,Male,39,1888,80,151040,06/11/2018
727278,Ofline store,121769,Jakarta,Female,39,1888,80,151040,13/12/2018
442880,Ofline store,333188,Bogor,Male,39,1888,80,151040,29/10/2018
773945,Ofline store,440486,Depok,Male,39,1888,80,151040,28/12/2018
547024,Ofline store,116778,Jakarta,Male,39,1888,80,151040,18/11/2018
589352,Ofline store,192919,Bogor,Female,34,1088,80,87040,26/11/2018
419481,Ofline store,339911,Tangerang,Male,34,1088,80,87040,24/10/2018
696687,Ofline store,357062,Bogor,Female,34,1088,80,87040,09/12/2018
483344,Ofline store,384731,Depok,Female,34,1088,80,87040,05/11/2018
311073,Ofline store,354406,Depok,Male,34,1088,80,87040,17/09/2018
101083,Ofline store,176713,Bogor,Male,34,1088,80,87040,16/05/2018
243873,Ofline store,300726,Jakarta,Male,34,1088,20,21760,14/08/2018
519622,Ofline store,170153,Jakarta,Female,34,1088,20,21760,13/11/2018
144423,Ofline store,301284,Tangerang,Male,34,1088,20,21760,25/06/2018
181110,Ofline store,265245,Jakarta,Female,34,1088,20,21760,14/07/2018
209697,Ofline store,255072,Depok,Female,34,1088,20,21760,30/07/2018
413402,Ofline store,185668,Jakarta,Female,34,1088,20,21760,23/10/2018
422079,Ofline store,385493,Jakarta,Male,34,1088,20,21760,24/10/2018
483210,Ofline store,264083,Depok,Male,39,1888,48,90624,05/11/2018
243299,Ofline store,333233,Bogor,Female,39,1888,48,90624,14/08/2018
171891,Ofline store,177145,Jakarta,Female,39,1888,48,90624,08/07/2018
297512,Ofline store,60130,Depok,Male,39,1888,48,90624,11/09/2018
169578,Ofline store,177335,Depok,Female,39,1888,48,90624,06/07/2018
336286,Ofline store,101116,Jakarta,Male,39,1888,48,90624,27/09/2018
193010,Ofline store,176370,Bogor,Female,39,1888,48,90624,21/07/2018
484304,Ofline store,238631,Depok,Female,39,1888,48,90624,05/11/2018
775818,Ofline store,156492,Depok,Female,39,1888,48,90624,28/12/2018
206716,Ofline store,286704,Tangerang,Female,39,1888,48,90624,28/07/2018
483356,Ofline store,320182,Jakarta,Female,39,1888,48,90624,05/11/2018
512803,Ofline store,182640,Jakarta,Female,39,1888,48,90624,12/11/2018
106407,Ofline store,210460,Depok,Female,39,1888,48,90624,21/05/2018
142414,Ofline store,235402,Tangerang,Female,39,1888,48,90624,20/06/2018
212911,Ofline store,241290,Bogor,Female,39,1888,48,90624,31/07/2018
535660,Ofline store,370903,Depok,Male,39,1888,48,90624,16/11/2018
142694,Ofline store,167528,Depok,Male,39,1888,48,90624,21/06/2018
496576,Ofline store,176345,Depok,Male,39,1888,48,90624,08/11/2018
639815,Ofline store,320242,Jakarta,Male,39,1888,48,90624,02/12/2018
421398,Ofline store,267591,Bogor,Male,39,1888,48,90624,24/10/2018
281348,Ofline store,151913,Tangerang,Male,39,1888,48,90624,04/09/2018
142058,Ofline store,275246,Tangerang,Female,39,1888,48,90624,19/06/2018
378476,Ofline store,298787,Depok,Female,39,1888,48,90624,14/10/2018
592480,Ofline store,415863,Depok,Male,39,1888,48,90624,26/11/2018
335321,Ofline store,181338,Jakarta,Female,39,1888,48,90624,27/09/2018
144378,Ofline store,219129,Tangerang,Female,39,1888,48,90624,25/06/2018
172071,Ofline store,293112,Depok,Male,39,1888,48,90624,08/07/2018
703300,Ofline store,431515,Depok,Male,39,1888,48,90624,10/12/2018
289879,Ofline store,241290,Bogor,Female,39,1888,48,90624,07/09/2018
494121,Ofline store,364413,Bogor,Male,39,1888,48,90624,07/11/2018
137631,Ofline store,325639,Tangerang,Male,39,1888,48,90624,10/06/2018
288479,Ofline store,268543,Bogor,Male,39,1888,48,90624,06/09/2018
578685,Ofline store,413584,Depok,Female,39,1888,48,90624,24/11/2018
365690,Ofline store,314685,Tangerang,Male,39,1888,48,90624,09/10/2018
204922,Ofline store,293704,Depok,Female,39,1888,48,90624,27/07/2018
282324,Ofline store,209544,Tangerang,Female,39,1888,48,90624,04/09/2018
327060,Ofline store,156970,Bogor,Female,39,1888,48,90624,24/09/2018
588024,Ofline store,415225,Depok,Male,39,1888,48,90624,25/11/2018
317176,Ofline store,332974,Depok,Female,39,1888,48,90624,19/09/2018
703309,Ofline store,407748,Bogor,Female,39,1888,48,90624,10/12/2018
101283,Ofline store,214176,Bogor,Male,39,1888,48,90624,16/05/2018
380664,Ofline store,374746,Bogor,Female,39,1888,48,90624,15/10/2018
288856,Ofline store,258916,Jakarta,Male,39,1888,48,90624,07/09/2018
511823,Ofline store,227813,Bogor,Female,39,1888,48,90624,12/11/2018
182279,Ofline store,238631,Depok,Female,39,1888,48,90624,14/07/2018
601534,Ofline store,417394,Jakarta,Male,39,1888,48,90624,27/11/2018
600809,Ofline store,413488,Bogor,Male,39,1888,48,90624,27/11/2018
546172,Ofline store,101116,Jakarta,Male,39,1888,48,90624,18/11/2018
593019,Ofline store,181520,Tangerang,Female,34,1088,84,91392,26/11/2018
270868,Ofline store,255152,Depok,Male,34,1088,84,91392,31/08/2018
142258,Ofline store,315536,Tangerang,Female,34,1088,84,91392,19/06/2018
739990,Ofline store,286207,Jakarta,Male,34,1088,84,91392,15/12/2018
143130,Ofline store,324086,Depok,Female,34,1088,84,91392,22/06/2018
251321,Ofline store,341420,Jakarta,Male,34,1088,24,26112,20/08/2018
431189,Ofline store,387778,Bogor,Female,34,1088,24,26112,26/10/2018
454804,Ofline store,391528,Jakarta,Female,34,1088,24,26112,31/10/2018
187639,Ofline store,286704,Tangerang,Female,34,1088,24,26112,18/07/2018
143801,Ofline store,295073,Jakarta,Female,34,1088,24,26112,23/06/2018
579284,Ofline store,413352,Bogor,Male,35,1656,96,158976,24/11/2018
337722,Ofline store,366561,Jakarta,Male,35,1656,96,158976,28/09/2018
519094,Ofline store,207606,Depok,Female,35,1656,96,158976,13/11/2018
342374,Ofline store,271515,Depok,Male,39,1888,16,30208,30/09/2018
774045,Ofline store,440490,Tangerang,Female,39,1888,16,30208,28/12/2018
292344,Ofline store,258916,Jakarta,Male,39,1888,16,30208,08/09/2018
173223,Ofline store,332554,Bogor,Female,39,1888,16,30208,09/07/2018
527199,Ofline store,339016,Tangerang,Male,39,1888,16,30208,15/11/2018
581850,Ofline store,414241,Depok,Male,39,1888,16,30208,24/11/2018
487537,Ofline store,347874,Bogor,Female,39,1888,16,30208,06/11/2018
298567,Ofline store,200556,Tangerang,Male,39,1888,16,30208,12/09/2018
747141,Ofline store,433971,Depok,Male,39,1888,16,30208,17/12/2018
269035,Ofline store,316267,Jakarta,Male,39,1888,16,30208,30/08/2018
141065,Ofline store,310717,Tangerang,Male,39,1888,16,30208,14/06/2018
413169,Ofline store,333358,Depok,Male,39,1888,16,30208,23/10/2018
739446,Ofline store,433669,Depok,Male,39,1888,16,30208,15/12/2018
232486,Ofline store,101116,Jakarta,Male,39,1888,16,30208,08/08/2018
523036,Ofline store,293895,Tangerang,Female,39,1888,16,30208,14/11/2018
545303,Ofline store,394207,Depok,Female,39,1888,16,30208,18/11/2018
291210,Ofline store,272726,Jakarta,Female,39,1888,16,30208,08/09/2018
282575,Ofline store,178100,Depok,Male,39,1888,16,30208,04/09/2018
592507,Ofline store,412548,Jakarta,Male,39,1888,16,30208,26/11/2018
245038,Ofline store,258325,Jakarta,Female,39,1888,16,30208,15/08/2018
264143,Ofline store,321148,Depok,Female,39,1888,16,30208,28/08/2018
169440,Ofline store,235402,Tangerang,Female,39,1888,16,30208,06/07/2018
231883,Ofline store,180074,Bogor,Male,39,1888,16,30208,07/08/2018
513035,Ofline store,397434,Depok,Male,39,1888,16,30208,12/11/2018
399492,Ofline store,381115,Depok,Female,39,1888,16,30208,19/10/2018
353653,Ofline store,367746,Tangerang,Male,39,1888,16,30208,03/10/2018
727274,Ofline store,121769,Jakarta,Female,39,1888,16,30208,13/12/2018
495373,Ofline store,138588,Bogor,Male,39,1888,16,30208,08/11/2018
134042,Ofline store,216635,Tangerang,Female,39,1888,16,30208,07/06/2018
375441,Ofline store,210460,Depok,Female,39,1888,16,30208,12/10/2018
651895,Ofline store,391082,Depok,Female,39,1888,16,30208,03/12/2018
207360,Ofline store,271786,Bogor,Female,39,1888,16,30208,28/07/2018
257833,Ofline store,332587,Tangerang,Male,39,1888,16,30208,24/08/2018
568092,Ofline store,182859,Depok,Male,39,1888,16,30208,22/11/2018
283890,Ofline store,258325,Jakarta,Female,39,1888,16,30208,05/09/2018
328931,Ofline store,319964,Jakarta,Male,39,1888,16,30208,24/09/2018
606837,Ofline store,390160,Bogor,Female,39,1888,16,30208,28/11/2018
492856,Ofline store,347923,Bogor,Female,39,1888,16,30208,07/11/2018
362309,Ofline store,181338,Jakarta,Female,39,1888,16,30208,07/10/2018
772026,Ofline store,434294,Jakarta,Male,39,1888,16,30208,27/12/2018
335856,Ofline store,283347,Tangerang,Female,39,1888,16,30208,27/09/2018
650362,Ofline store,295446,Jakarta,Male,39,1888,16,30208,03/12/2018
565522,Ofline store,366273,Jakarta,Male,39,1888,16,30208,22/11/2018
515599,Ofline store,356623,Depok,Male,39,1888,16,30208,12/11/2018
221128,Ofline store,300524,Tangerang,Male,39,1888,16,30208,02/08/2018
573810,Ofline store,406659,Jakarta,Female,34,1088,88,95744,23/11/2018
446055,Ofline store,315278,Depok,Female,34,1088,88,95744,29/10/2018
551029,Ofline store,389247,Bogor,Male,34,1088,88,95744,19/11/2018
287829,Ofline store,225704,Depok,Female,34,1088,88,95744,06/09/2018
109716,Ofline store,233442,Depok,Male,34,1088,88,95744,23/05/2018
172316,Ofline store,331865,Jakarta,Female,34,1088,88,95744,08/07/2018
387215,Ofline store,273531,Jakarta,Female,34,1088,28,30464,17/10/2018
217230,Ofline store,331865,Jakarta,Female,34,1088,28,30464,01/08/2018
270912,Ofline store,304818,Jakarta,Female,34,1088,28,30464,31/08/2018
180055,Ofline store,193586,Depok,Male,34,1088,28,30464,13/07/2018
307108,Ofline store,300726,Jakarta,Male,34,1088,28,30464,15/09/2018
370153,Ofline store,354781,Jakarta,Female,34,1088,92,100096,10/10/2018
533987,Ofline store,392276,Bogor,Male,34,1088,92,100096,16/11/2018
264624,Ofline store,253092,Tangerang,Male,34,1088,92,100096,28/08/2018
512607,Ofline store,186646,Tangerang,Male,34,1088,92,100096,12/11/2018
141632,Ofline store,315536,Tangerang,Female,34,1088,92,100096,17/06/2018
403536,Ofline store,373038,Jakarta,Female,34,1088,92,100096,20/10/2018
415566,Ofline store,357954,Tangerang,Female,34,1088,32,34816,23/10/2018
315131,Ofline store,271786,Bogor,Female,34,1088,32,34816,19/09/2018
106759,Ofline store,171978,Tangerang,Female,34,1088,32,34816,21/05/2018
101188,Ofline store,306146,Depok,Male,34,1088,32,34816,16/05/2018
371088,Ofline store,153722,Depok,Female,34,1088,32,34816,11/10/2018
196429,Ofline store,315278,Depok,Female,34,1088,32,34816,23/07/2018
170196,Ofline store,331854,Depok,Female,39,1888,88,166144,06/07/2018
543718,Ofline store,405309,Jakarta,Female,39,1888,88,166144,18/11/2018
364377,Ofline store,305954,Jakarta,Male,39,1888,88,166144,08/10/2018
749401,Ofline store,176871,Bogor,Male,39,1888,88,166144,17/12/2018
312250,Ofline store,238631,Depok,Female,39,1888,88,166144,18/09/2018
207207,Ofline store,334186,Depok,Male,39,1888,88,166144,28/07/2018
582629,Ofline store,414377,Bogor,Male,39,1888,88,166144,24/11/2018
294682,Ofline store,258325,Jakarta,Female,39,1888,88,166144,10/09/2018
298505,Ofline store,197574,Tangerang,Female,39,1888,88,166144,12/09/2018
268195,Ofline store,332965,Depok,Female,39,1888,88,166144,30/08/2018
745196,Ofline store,290927,Tangerang,Female,39,1888,88,166144,16/12/2018
267987,Ofline store,335195,Tangerang,Male,39,1888,88,166144,30/08/2018
517225,Ofline store,332687,Depok,Female,39,1888,88,166144,13/11/2018
270853,Ofline store,133963,Tangerang,Female,39,1888,88,166144,31/08/2018
593712,Ofline store,415225,Depok,Male,39,1888,88,166144,26/11/2018
339399,Ofline store,298195,Bogor,Male,39,1888,88,166144,29/09/2018
316888,Ofline store,178241,Depok,Female,39,1888,88,166144,19/09/2018
589764,Ofline store,415485,Tangerang,Male,39,1888,88,166144,26/11/2018
624323,Ofline store,415937,Jakarta,Male,39,1888,88,166144,30/11/2018
